method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Hybrid original,keep,5a7cd28c554299452d57ba80,What Swiss football forward currently plays for the Swiss football club founded in 1905?,1.0,1.0,0.8772153153380493,1.5,0.0,2,What Swiss football forward currently plays for the Swiss football club founded in 1905?,FC Chiasso | FC Zürich | Maeva Sarrasin | Andrea Locatelli (footballer) | FC Tuggen,Andrea Locatelli (footballer) | FC Chiasso
Hybrid keyword,keyword_compress,5a7cd28c554299452d57ba80,What Swiss football forward currently plays for the Swiss football club founded in 1905?,1.0,1.0,0.8772153153380493,1.5,0.0,2,swiss football forward currently plays swiss football club founded 1905,FC Chiasso | FC Zürich | FC Tuggen | Andrea Locatelli (footballer) | Maeva Sarrasin,Andrea Locatelli (footballer) | FC Chiasso
Dense original,keep,5ae5a8435542992663a4f208,What is the nationality of the scientist who invented in Tribometer?,1.0,1.0,1.0,1.5,0.0,1,What is the nationality of the scientist who invented in Tribometer?,Tribometer | Pieter van Musschenbroek | József Károly Hell | Marcel Benoist Prize | International Prize for Biology,Pieter van Musschenbroek | Tribometer
Dense keyword,keyword_compress,5ae5a8435542992663a4f208,What is the nationality of the scientist who invented in Tribometer?,1.0,1.0,1.0,1.5,0.0,1,nationality scientist invented tribometer,Tribometer | Pieter van Musschenbroek | József Károly Hell | Marcel Benoist Prize | Goralenvolk,Pieter van Musschenbroek | Tribometer
Hybrid original,keep,5ae5a8435542992663a4f208,What is the nationality of the scientist who invented in Tribometer?,1.0,1.0,0.9197207891481876,1.5,0.0,2,What is the nationality of the scientist who invented in Tribometer?,Tribometer | Goralenvolk | Pieter van Musschenbroek | International Prize for Biology | József Károly Hell,Pieter van Musschenbroek | Tribometer
Hybrid keyword,keyword_compress,5ae5a8435542992663a4f208,What is the nationality of the scientist who invented in Tribometer?,1.0,1.0,0.9197207891481876,1.5,0.0,2,nationality scientist invented tribometer,Tribometer | József Károly Hell | Pieter van Musschenbroek | Reverse Polish notation | Polish notation,Pieter van Musschenbroek | Tribometer
Dense original,keep,5a89810655429946c8d6e929,How long is the river The Atherton Bridge spans?,0.5,1.0,0.6131471927654584,1.0,0.0,1,How long is the river The Atherton Bridge spans?,Atherton Bridge | Colorado River Bridge at Bastrop | Port Mann Bridge | Pit River Bridge | Walnut Street Bridge (Chattanooga),Atherton Bridge | Nashua River
Dense keyword,keyword_compress,5a89810655429946c8d6e929,How long is the river The Atherton Bridge spans?,0.5,1.0,0.6131471927654584,1.0,0.0,1,long river atherton bridge spans,Atherton Bridge | Port Mann Bridge | Colorado River Bridge at Bastrop | Pit River Bridge | Walnut Street Bridge (Chattanooga),Atherton Bridge | Nashua River
Hybrid original,keep,5a89810655429946c8d6e929,How long is the river The Atherton Bridge spans?,0.5,1.0,0.6131471927654584,1.0,0.0,2,How long is the river The Atherton Bridge spans?,Atherton Bridge | Colorado River Bridge at Bastrop | Pit River Bridge | Monocacy River bridge and viaduct | Port Mann Bridge,Atherton Bridge | Nashua River
Hybrid keyword,keyword_compress,5a89810655429946c8d6e929,How long is the river The Atherton Bridge spans?,0.5,1.0,0.6131471927654584,1.0,0.0,2,long river atherton bridge spans,Atherton Bridge | Colorado River Bridge at Bastrop | Port Mann Bridge | Pit River Bridge | Monocacy River bridge and viaduct,Atherton Bridge | Nashua River
Dense original,keep,5a88bd1d554299206df2b357,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",1.0,1.0,1.0,1.5,0.0,1,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",Jesse Williams (actor) | Jackson Avery | Thomas J. Lawson | Peter Lawson (cricketer) | Jack Lawson,Jackson Avery | Jesse Williams (actor)
Dense keyword,keyword_compress,5a88bd1d554299206df2b357,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",1.0,1.0,1.0,1.5,0.0,1,character grey s anatomy played same actor portrayed rev james lawson lee daniel s butler debut,Jesse Williams (actor) | Jackson Avery | Thomas J. Lawson | Peter Lawson (cricketer) | Jack Lawson,Jackson Avery | Jesse Williams (actor)
Hybrid original,keep,5a88bd1d554299206df2b357,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",1.0,1.0,1.0,1.5,0.0,2,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",Jesse Williams (actor) | Jackson Avery | The Plants | Thomas J. Lawson | James Lapslie,Jackson Avery | Jesse Williams (actor)
Hybrid keyword,keyword_compress,5a88bd1d554299206df2b357,"When did the character on Grey's Anatomy, played by the same actor who portrayed Rev James Lawson in ""Lee Daniel's The Butler"", debut?",1.0,1.0,1.0,1.5,0.0,2,character grey s anatomy played same actor portrayed rev james lawson lee daniel s butler debut,Jesse Williams (actor) | Jackson Avery | Peter Lawson (cricketer) | James Lapslie | Thomas J. Lawson,Jackson Avery | Jesse Williams (actor)
Dense original,keep,5a7652785542992db9473760,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?",1.0,1.0,0.9197207891481876,1.5,0.0,1,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?","Wolfgang Becker | Good Bye, Lenin! | Vladimir Danilevich | Good Bye Lenin! (soundtrack) | Tabarly (soundtrack)",Vladimir Danilevich | Wolfgang Becker
Dense keyword,keyword_compress,5a7652785542992db9473760,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?",1.0,1.0,0.8772153153380493,1.5,0.0,1,following known work good bye lenin 2003 vladimir danilevich wolfgang becker,"Wolfgang Becker | Good Bye, Lenin! | Good Bye Lenin! (soundtrack) | Vladimir Danilevich | Tabarly (soundtrack)",Vladimir Danilevich | Wolfgang Becker
Hybrid original,keep,5a7652785542992db9473760,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?",1.0,1.0,0.8772153153380493,1.5,0.0,2,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?","Wolfgang Becker | Good Bye, Lenin! | Good Bye Natsuo | Vladimir Danilevich | Good Bye Lenin! (soundtrack)",Vladimir Danilevich | Wolfgang Becker
Hybrid keyword,keyword_compress,5a7652785542992db9473760,"Which of the following is known for his work ""Good Bye Lenin!"" in 2003: Vladimir Danilevich or Wolfgang Becker?",1.0,1.0,0.8772153153380493,1.5,0.0,2,following known work good bye lenin 2003 vladimir danilevich wolfgang becker,"Wolfgang Becker | Good Bye, Lenin! | Good Bye Lenin! (soundtrack) | Vladimir Danilevich | Tabarly (soundtrack)",Vladimir Danilevich | Wolfgang Becker
Dense original,keep,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Tara Strong | Tara Strong filmography | List of Teen Titans episodes | List of Teen Titans Go! episodes | Teen Titans,Tara Strong | Teen Titans Go! (TV series)
Dense keyword,keyword_compress,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",1.0,0.5,0.6240505200038379,1.25,0.0,1,tara strong major voice role animated series american animated television series based dc comics fictional superhero team teen titans,Tara Strong filmography | Tara Strong | List of Teen Titans Go! episodes | List of Teen Titans episodes | Teen Titans Go! (TV series),Tara Strong | Teen Titans Go! (TV series)
Hybrid original,keep,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",1.0,1.0,0.8772153153380493,1.5,0.0,2,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Tara Strong | List of Teen Titans Go! episodes | Tara Strong filmography | Teen Titans Go! (TV series) | List of Teen Titans episodes,Tara Strong | Teen Titans Go! (TV series)
Hybrid keyword,keyword_compress,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",1.0,0.5,0.6509209298071326,1.25,0.0,2,tara strong major voice role animated series american animated television series based dc comics fictional superhero team teen titans,Tara Strong filmography | Teen Titans Go! (TV series) | List of Teen Titans Go! episodes | Tara Strong | List of Teen Titans episodes,Tara Strong | Teen Titans Go! (TV series)
Dense original,keep,5ab42f3c55429942dd415ebc,What is the translation of the name of the river on which Widnes is located ?,1.0,1.0,0.9197207891481876,1.5,0.0,1,What is the translation of the name of the river on which Widnes is located ?,River Mersey | Deschutes River (Washington) | Listed buildings in Widnes | Cuerdley railway station | Lac qui Parle River,Listed buildings in Widnes | River Mersey
Dense keyword,keyword_compress,5ab42f3c55429942dd415ebc,What is the translation of the name of the river on which Widnes is located ?,1.0,1.0,1.0,1.5,0.0,1,translation name river widnes located,Listed buildings in Widnes | River Mersey | Deschutes River (Washington) | Lac qui Parle River | Cuerdley railway station,Listed buildings in Widnes | River Mersey
Hybrid original,keep,5ab42f3c55429942dd415ebc,What is the translation of the name of the river on which Widnes is located ?,1.0,0.5,0.6240505200038379,1.25,0.0,2,What is the translation of the name of the river on which Widnes is located ?,Lac qui Parle River | River Mersey | Deschutes River (Washington) | Cuerdley railway station | Listed buildings in Widnes,Listed buildings in Widnes | River Mersey
Hybrid keyword,keyword_compress,5ab42f3c55429942dd415ebc,What is the translation of the name of the river on which Widnes is located ?,1.0,0.5,0.6509209298071326,1.25,0.0,2,translation name river widnes located,Deschutes River (Washington) | Listed buildings in Widnes | Lac qui Parle River | River Mersey | Silver Jubilee Bridge,Listed buildings in Widnes | River Mersey
Dense original,keep,5a828c3355429940e5e1a8f0,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",0.5,1.0,0.6131471927654584,1.0,0.0,1,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""?",Kung Fu Magoo | Local Kung Fu | Kung Fu Style | The Incredible Kung Fu Master | Kung Fu Panda,Kung Fu Magoo | Maile Flanagan
Dense keyword,keyword_compress,5a828c3355429940e5e1a8f0,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",0.5,1.0,0.6131471927654584,1.0,0.0,1,kung fu magoo mexican american animated action comedy film english voice cast star best known roll naruto,Kung Fu Magoo | Kung Fu Man (film) | Kung Fu Panda | The Incredible Kung Fu Master | Local Kung Fu,Kung Fu Magoo | Maile Flanagan
Hybrid original,keep,5a828c3355429940e5e1a8f0,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",1.0,1.0,0.9197207891481876,1.5,0.0,2,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""?",Kung Fu Magoo | Local Kung Fu | Maile Flanagan | The Incredible Kung Fu Master | Kung Fu Style,Kung Fu Magoo | Maile Flanagan
Hybrid keyword,keyword_compress,5a828c3355429940e5e1a8f0,"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",1.0,1.0,0.9197207891481876,1.5,0.0,2,kung fu magoo mexican american animated action comedy film english voice cast star best known roll naruto,Kung Fu Magoo | Kung Fu Man (film) | Maile Flanagan | The Incredible Kung Fu Master | Kung Fu Panda,Kung Fu Magoo | Maile Flanagan
Dense original,keep,5abf1a6b5542997ec76fd3c1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,1.0,1.0,1.0,1.5,0.0,1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,Ilysiakos B.C. | Greek alphabet | Molodtsov alphabet | Izhitsa | Finnish orthography,Greek alphabet | Ilysiakos B.C.
Dense keyword,keyword_compress,5abf1a6b5542997ec76fd3c1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,1.0,1.0,0.8772153153380493,1.5,0.0,1,alphabet alphabet derived name club ilysiakos b c starting letter,Ilysiakos B.C. | Izhitsa | Molodtsov alphabet | Greek alphabet | Finnish orthography,Greek alphabet | Ilysiakos B.C.
Hybrid original,keep,5abf1a6b5542997ec76fd3c1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,1.0,1.0,0.9197207891481876,1.5,0.0,2,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,Ilysiakos B.C. | Izhitsa | Greek alphabet | Q with stroke | Molodtsov alphabet,Greek alphabet | Ilysiakos B.C.
Hybrid keyword,keyword_compress,5abf1a6b5542997ec76fd3c1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,1.0,1.0,0.8503449055347546,1.5,0.0,2,alphabet alphabet derived name club ilysiakos b c starting letter,Ilysiakos B.C. | Izhitsa | Finnish orthography | Molodtsov alphabet | Greek alphabet,Greek alphabet | Ilysiakos B.C.
Dense original,keep,5ae3b1ba5542992f92d82343,Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,0.0,0.0,0.0,0.0,0.0,1,Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,2016–17 Philadelphia 76ers season | 1973 NBA draft | 1976 NBA draft | List of Philadelphia 76ers head coaches | Ben Simmons,2015–16 Philadelphia 76ers season | Joel Embiid
